UDI,Product_ID,Type,Air_temperature__K_,Process_temperature__K_,Rotational_speed__rpm_,Torque__Nm_,Tool_wear__min_,Machine_failure,TWF,HDF,PWF,OSF,RNF
755,M15614,M,296.9,308.1,1483,44.3,219,0,0,0,0,0,0
4848,L52027,L,303.4,311.9,1434,44.6,78,0,0,0,0,0,0
1891,L49070,L,297.8,307.4,1512,40.8,137,0,0,0,0,0,0
4269,L51448,L,302.7,311.0,1694,29.8,150,0,0,0,0,0,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
1730,M16589,M,298.3,307.7,1439,43.8,111,0,0,0,0,0,0
7400,L54579,L,299.6,310.6,1642,35.1,149,0,0,0,0,0,0
2694,M17553,M,300.1,309.6,1622,36.1,43,0,0,0,0,0,0
2198,L49377,L,299.7,309.0,1412,49.2,85,0,0,0,0,0,0
3026,L50205,L,300.5,309.6,1366,50.2,219,0,0,0,0,0,0
6838,M21697,M,301.0,311.0,1423,38.6,199,0,0,0,0,0,0
3508,M18367,M,301.7,310.8,1502,34.4,157,0,0,0,0,0,0
4019,M18878,M,302.0,310.8,1783,23.1,190,0,0,0,0,0,0
4191,H33604,H,302.4,310.9,1444,40.7,174,0,0,0,0,0,0
4423,M19282,M,302.6,310.2,2157,17.2,94,0,0,0,0,0,0
4242,L51421,L,302.4,311.0,1475,47.9,79,0,0,0,0,0,0
686,M15545,M,297.7,309.0,1636,29.7,32,0,0,0,0,0,0
9854,L57033,L,298.6,309.4,1525,37.8,54,0,0,0,0,0,0
2084,H31497,H,299.4,309.3,1743,28.2,0,0,0,0,0,0,0
9932,L57111,L,298.3,308.3,1432,46.9,65,0,0,0,0,0,0
983,L48162,L,296.2,306.9,1516,39.1,138,0,0,0,0,0,0
5392,L52571,L,302.7,312.2,1572,34.4,228,0,0,0,0,0,0
1529,L48708,L,298.1,309.0,1559,34.0,54,0,0,0,0,0,0
7719,H37132,H,300.6,311.7,1427,44.6,87,0,0,0,0,0,0
8133,M22992,M,299.9,311.3,1389,50.0,55,0,0,0,0,0,0
6833,M21692,M,301.1,311.1,1384,42.5,185,0,0,0,0,0,0
2725,M17584,M,299.8,309.3,1470,42.7,119,0,0,0,0,0,0
434,M15293,M,297.6,308.5,1848,23.7,37,0,0,0,0,0,0
6925,L54104,L,301.2,311.6,1461,52.9,208,1,0,0,0,1,0
8127,L55306,L,300.2,311.4,1433,37.9,36,0,0,0,0,0,0
3163,L50342,L,300.5,309.9,1480,40.0,148,0,0,0,0,0,0
309,L47488,L,297.9,308.5,1305,47.2,155,0,0,0,0,0,0
7836,L55015,L,300.1,311.5,1549,34.7,189,0,0,0,0,0,0
7688,M22547,M,300.7,311.7,2097,18.9,232,1,1,0,0,0,0
349,L47528,L,297.6,308.3,1617,31.7,39,0,0,0,0,0,0
4699,L51878,L,303.4,311.6,1564,41.9,137,0,0,0,0,0,0
3691,L50870,L,302.1,311.3,1477,43.6,196,0,0,0,0,0,0
1402,H30815,H,298.9,310.2,1532,37.7,166,0,0,0,0,0,0
976,M15835,M,296.0,306.6,1628,36.8,121,0,0,0,0,0,0
7407,L54586,L,299.8,310.9,1545,40.7,166,0,0,0,0,0,0
3667,M18526,M,302.3,311.6,1608,39.9,136,0,0,0,0,0,0
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0
1512,L48691,L,298.1,308.7,1642,30.3,3,0,0,0,0,0,0
2695,M17554,M,300.1,309.6,1625,38.0,46,0,0,0,0,0,0
2322,M17181,M,299.2,308.8,1314,52.5,193,0,0,0,0,0,0
8541,L55720,L,298.6,309.5,1687,29.3,47,0,0,0,0,0,0
8881,L56060,L,298.0,309.2,1458,39.8,87,0,0,0,0,0,0
768,L47947,L,296.9,308.0,1546,31.1,11,0,0,0,0,0,0
5511,L52690,L,302.8,312.1,1418,51.4,54,0,0,0,0,0,0
6222,M21081,M,301.2,310.9,1359,50.8,118,0,0,0,0,0,0
6586,M21445,M,301.5,310.5,1600,32.8,205,0,0,0,0,0,0
7270,M22129,M,300.4,310.5,1540,33.4,32,0,0,0,0,0,0
1414,M16273,M,298.7,309.8,1528,36.7,197,0,0,0,0,0,0
9733,L56912,L,298.9,310.0,2231,17.4,151,0,0,0,0,0,0
9359,L56538,L,298.2,308.7,1407,45.1,49,0,0,0,0,0,0
8817,M23676,M,297.2,308.5,1425,45.8,109,0,0,0,0,0,0
7544,L54723,L,300.3,311.5,1446,45.0,82,0,0,0,0,0,0
8880,L56059,L,298.0,309.2,1527,39.5,85,0,0,0,0,0,0
8783,L55962,L,297.5,308.7,1456,44.7,29,0,0,0,0,0,0
2018,L49197,L,298.7,308.5,1483,42.5,46,0,0,0,0,0,0
2488,H31901,H,298.9,308.6,1623,31.0,180,0,0,0,0,0,0
6685,L53864,L,301.6,310.9,1538,40.4,13,0,0,0,0,0,0
6986,H36399,H,300.8,311.1,1698,24.8,156,0,0,0,0,0,0
1300,M16159,M,298.7,309.9,1458,40.2,137,0,0,0,0,0,0
548,M15407,M,297.5,309.4,1482,39.3,112,0,0,0,0,0,0
9301,L56480,L,298.1,308.9,1367,41.9,113,0,0,0,0,0,0
6304,H35717,H,301.2,310.6,1457,50.5,114,0,0,0,0,0,0
469,L47648,L,297.3,308.7,1619,31.6,129,0,0,0,0,0,0
1124,H30537,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0
3988,M18847,M,302.3,311.3,1444,43.1,115,0,0,0,0,0,0
4725,L51904,L,303.4,311.9,1771,31.6,202,0,0,0,0,0,0
1106,M15965,M,296.6,307.5,1734,27.0,50,0,0,0,0,0,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
5632,L52811,L,302.8,312.2,1515,36.8,162,0,0,0,0,0,0
4814,M19673,M,303.3,311.8,1536,40.6,205,0,0,0,0,0,0
6849,M21708,M,301.1,311.3,1389,53.3,8,0,0,0,0,0,0
5885,M20744,M,301.3,311.1,1438,43.0,137,0,0,0,0,0,0
5907,L53086,L,300.7,310.3,1533,35.6,198,0,0,0,0,0,0
7339,L54518,L,299.8,310.5,1496,38.8,215,0,0,0,0,0,0
5061,L52240,L,304.0,312.8,1542,42.7,198,0,0,0,0,0,0
1749,H31162,H,298.4,307.7,1626,31.1,166,0,0,0,0,0,1
8955,L56134,L,297.3,308.0,1447,49.0,61,0,0,0,0,0,0
6286,M21145,M,301.2,310.7,1426,46.1,67,0,0,0,0,0,0
9526,L56705,L,299.1,310.3,1411,42.1,74,0,0,0,0,0,0
8414,M23273,M,298.6,309.7,1422,49.7,139,0,0,0,0,0,0
5158,H34571,H,304.1,313.3,1397,49.6,34,0,0,0,0,0,0
3896,M18755,M,302.3,311.2,1546,40.0,71,0,0,0,0,0,0
6706,M21565,M,301.5,310.6,1382,58.1,67,0,0,0,0,0,0
6307,L53486,L,301.0,310.4,1563,34.4,124,0,0,0,0,0,0
2787,M17646,M,300.2,309.5,1630,28.3,51,0,0,0,0,0,0
967,M15826,M,295.8,306.5,1641,32.2,101,0,0,0,0,0,0
7968,M22827,M,301.0,312.2,1629,32.6,69,0,0,0,0,0,0
6169,M21028,M,300.7,310.6,1778,27.1,215,0,0,0,0,0,0
6126,L53305,L,300.9,310.9,1995,20.2,105,0,0,0,0,0,0
6109,M20968,M,300.8,310.9,1678,28.1,63,0,0,0,0,0,0
6657,M21516,M,301.4,310.4,1553,44.7,173,0,0,0,0,0,0
7704,H37117,H,300.7,311.7,1864,23.6,47,0,0,0,0,0,0
2901,L50080,L,300.5,309.3,1574,33.5,101,0,0,0,0,0,0
1472,L48651,L,298.5,309.6,1421,53.6,122,0,0,0,0,0,0
9073,H38486,H,297.2,308.1,1770,27.2,140,0,0,0,0,0,0
2942,M17801,M,300.7,309.6,1996,19.8,203,1,1,0,0,0,0
5945,M20804,M,300.7,310.6,1484,38.0,84,0,0,0,0,0,0
7346,L54525,L,299.6,310.2,1381,60.5,13,0,0,0,0,0,0
9569,L56748,L,299.8,311.1,1588,38.0,183,0,0,0,0,0,0
3889,L51068,L,302.3,311.2,1903,22.9,55,0,0,0,0,0,0
9667,M24526,M,299.1,310.3,1838,24.0,235,0,0,0,0,0,0
3079,M17938,M,300.1,309.4,1349,56.2,127,0,0,0,0,0,0
9144,L56323,L,297.6,308.5,1452,42.6,116,0,0,0,0,0,0
9819,M24678,M,298.6,309.4,1407,45.1,176,0,0,0,0,0,0
2979,H32392,H,300.5,309.4,1642,36.2,103,0,0,0,0,0,0
4174,M19033,M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0
3545,M18404,M,301.9,310.9,1483,37.0,35,0,0,0,0,0,0
4496,L51675,L,302.6,310.4,1359,57.2,67,1,0,1,0,0,0
6277,L53456,L,301.2,310.8,1233,64.6,45,0,0,0,0,0,0
2576,L49755,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0
3511,L50690,L,301.7,311.0,1474,42.6,164,0,0,0,0,0,0
2158,M17017,M,299.4,309.0,1939,19.8,204,0,0,0,0,0,0
2658,M17517,M,300.0,309.5,1425,40.8,178,0,0,0,0,0,0
2451,L49630,L,299.2,308.7,1492,37.8,91,0,0,0,0,0,0
5589,M20448,M,302.5,311.8,1566,37.6,54,0,0,0,0,0,0
4498,L51677,L,302.5,310.3,1523,36.0,72,0,0,0,0,0,0
3497,L50676,L,301.9,310.9,1309,48.0,124,0,0,0,0,0,0
5694,M20553,M,302.4,311.8,1453,42.1,105,0,0,0,0,0,0
3665,M18524,M,302.3,311.7,1685,30.8,130,0,0,0,0,0,0
4535,L51714,L,302.4,310.2,1633,28.0,164,0,0,0,0,0,0
2028,L49207,L,298.7,308.4,1750,25.8,72,0,0,0,0,0,0
3164,L50343,L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0
5852,L53031,L,301.2,311.0,1573,32.8,57,0,0,0,0,0,0
7894,L55073,L,300.9,312.7,1416,43.8,112,0,0,0,0,0,0
8441,L55620,L,298.6,309.8,1370,56.0,0,0,0,0,0,0,0
5944,L53123,L,300.7,310.7,1541,41.3,82,0,0,0,0,0,0
2368,M17227,M,299.3,308.5,1496,39.4,80,0,0,0,0,0,0
1814,L48993,L,298.1,307.7,1479,45.0,136,0,0,0,0,0,0
1568,L48747,L,298.1,308.2,1521,39.3,151,0,0,0,0,0,0
4070,M18929,M,301.9,310.7,1405,47.9,80,0,0,0,0,0,0
3717,L50896,L,302.3,311.4,1609,32.3,49,0,0,0,0,0,0
5709,L52888,L,302.3,311.7,1611,38.6,143,0,0,0,0,0,0
7306,M22165,M,300.0,310.5,1790,25.7,123,0,0,0,0,0,0
6262,L53441,L,301.1,310.6,1417,47.6,10,0,0,0,0,0,0
6910,L54089,L,300.8,311.2,1376,48.1,172,0,0,0,0,0,0
6507,H35920,H,301.0,310.1,1454,44.1,217,0,0,0,0,0,0
1815,L48994,L,298.1,307.7,1650,34.1,138,0,0,0,0,0,0
6134,L53313,L,301.1,311.1,1470,40.9,125,0,0,0,0,0,0
8701,M23560,M,297.3,308.7,1451,43.8,24,0,0,0,0,0,0
2409,L49588,L,299.0,308.4,1356,52.6,188,0,0,0,0,0,0
9581,M24440,M,299.5,310.7,1423,56.5,7,0,0,0,0,0,0
8347,L55526,L,298.7,309.7,1601,35.7,176,0,0,0,0,0,0
5970,M20829,M,300.4,310.8,1491,35.9,148,0,0,0,0,0,0
7979,L55158,L,301.2,312.4,1480,53.5,97,0,0,0,0,0,0
6267,L53446,L,300.8,310.4,1368,46.8,21,0,0,0,0,0,0
9261,L56440,L,298.2,309.0,1377,57.8,8,0,0,0,0,0,0
7468,H36881,H,300.3,311.6,1463,41.6,102,0,0,0,0,0,0
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0
1057,L48236,L,296.8,307.8,1565,39.5,124,0,0,0,0,0,0
1045,L48224,L,296.5,307.6,1512,43.6,92,0,0,0,0,0,0
1248,L48427,L,297.2,308.5,1513,42.9,212,0,0,0,0,0,0
4664,L51843,L,303.3,311.3,1389,53.9,39,0,0,0,0,0,0
2073,L49252,L,299.6,309.5,1570,35.5,189,0,0,0,0,0,1
6868,L54047,L,301.0,311.3,1342,50.9,60,0,0,0,0,0,0
4589,L51768,L,302.8,311.0,1564,38.5,85,0,0,0,0,0,0
3472,L50651,L,301.8,310.7,1441,49.3,58,0,0,0,0,0,0
3789,L50968,L,302.3,310.8,1511,48.1,24,0,0,0,0,0,0
5289,L52468,L,303.8,313.2,1531,39.4,159,0,0,0,0,0,0
6885,L54064,L,300.8,311.2,1492,39.0,109,0,0,0,0,0,0
5021,L52200,L,304.1,313.1,1556,36.3,86,0,0,0,0,0,0
5484,M20343,M,302.6,312.1,2000,21.9,200,0,0,0,0,0,0
757,L47936,L,296.8,308.0,1584,40.4,227,0,0,0,0,0,0
3615,L50794,L,301.8,311.0,1606,33.3,4,0,0,0,0,0,0
3892,L51071,L,302.2,311.1,1418,47.0,61,0,0,0,0,0,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
6559,M21418,M,301.5,310.6,1447,41.9,140,0,0,0,0,0,0
5213,L52392,L,303.7,312.5,1397,45.7,187,0,0,0,0,0,0
4375,L51554,L,302.0,309.7,1551,34.8,207,0,0,0,0,0,0
1030,M15889,M,296.2,307.3,1477,35.2,53,0,0,0,0,0,0
320,L47499,L,297.8,308.4,1612,32.1,183,0,0,0,0,0,0
1488,L48667,L,298.2,309.1,1429,48.5,164,0,0,0,0,0,0
1966,L49145,L,297.8,307.5,1581,33.1,116,0,0,0,0,0,0
3129,M17988,M,300.1,309.5,1462,42.8,50,0,0,0,0,0,0
5889,M20748,M,301.5,311.1,1507,38.6,149,0,0,0,0,0,0
1396,L48575,L,299.1,310.4,1452,39.7,151,0,0,0,0,0,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
6537,L53716,L,301.3,310.5,1406,47.1,83,0,0,0,0,0,0
9461,M24320,M,298.4,309.2,1399,45.2,125,0,0,0,0,0,0
9919,L57098,L,298.4,308.8,1352,56.7,24,0,0,0,0,0,0
9959,M24818,M,298.1,307.8,1525,35.9,132,0,0,0,0,0,0
2476,L49655,L,298.9,308.5,1459,43.1,147,0,0,0,0,0,0
5661,L52840,L,302.2,311.4,1477,41.7,15,0,0,0,0,0,0
9293,L56472,L,298.2,309.0,1643,34.1,91,0,0,0,0,0,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
5420,L52599,L,302.6,312.3,1321,53.4,42,0,0,0,0,0,0
1772,L48951,L,298.4,307.9,1446,45.3,23,0,0,0,0,0,0
9539,L56718,L,299.3,310.6,1480,45.1,107,0,0,0,0,0,0
9386,M24245,M,297.5,308.1,1907,23.5,125,0,0,0,0,0,0
8698,L55877,L,297.3,308.6,1505,33.5,14,0,0,0,0,0,0
5043,L52222,L,304.1,313.2,1569,35.8,146,0,0,0,0,0,0
9422,M24281,M,298.1,308.5,1382,54.5,17,0,0,0,0,0,0
1222,M16081,M,297.0,308.3,1399,46.4,132,0,0,0,0,0,1
7549,L54728,L,300.2,311.4,1495,43.6,95,0,0,0,0,0,0
1573,L48752,L,298.2,308.3,1230,59.6,162,0,0,0,0,0,0
1802,M16661,M,298.0,307.5,1427,43.6,101,0,0,0,0,0,0
3471,L50650,L,301.8,310.8,1736,26.5,56,0,0,0,0,0,0
3301,H32714,H,301.3,310.4,1538,38.4,65,0,0,0,0,0,0
9895,L57074,L,298.9,309.5,1645,31.1,169,0,0,0,0,0,0
3838,L51017,L,302.4,311.2,1450,47.9,154,0,0,0,0,0,0
9540,L56719,L,299.4,310.8,1424,47.7,109,0,0,0,0,0,0
8876,H38289,H,298.1,309.3,1332,51.0,72,0,0,0,0,0,0
5542,L52721,L,302.4,311.8,1433,42.2,134,0,0,0,0,0,0
1412,L48591,L,298.9,310.1,1944,23.4,192,0,0,0,0,0,0
4622,L51801,L,303.0,311.2,1341,51.0,174,1,0,1,0,0,0
9464,M24323,M,298.5,309.3,1552,36.8,133,0,0,0,0,0,0
1765,H31178,H,298.2,307.6,1318,55.7,0,0,0,0,0,0,0
7940,L55119,L,300.8,311.8,1417,43.4,223,0,0,0,0,0,0
4441,L51620,L,302.5,310.3,1446,44.0,146,0,0,0,0,0,0
1739,H31152,H,298.4,307.9,1948,21.4,136,0,0,0,0,0,0
6344,L53523,L,300.2,309.8,1827,23.0,6,0,0,0,0,0,0
9141,L56320,L,297.5,308.5,1373,39.9,110,0,0,0,0,0,0
2185,L49364,L,299.8,309.4,1475,43.4,51,0,0,0,0,0,0
5016,L52195,L,303.9,313.0,1759,28.4,74,0,0,0,0,0,0
4068,L51247,L,301.9,310.7,1429,51.0,76,0,0,0,0,0,0
4787,L51966,L,303.8,312.6,1577,41.3,134,0,0,0,0,0,0
540,M15399,M,297.4,309.3,1775,25.8,91,0,0,0,0,0,0
5375,L52554,L,302.9,312.3,1515,40.8,183,0,0,0,0,0,0
3116,L50295,L,299.9,309.2,1658,34.8,16,0,0,0,0,0,0
1409,L48588,L,298.9,310.0,1452,48.9,185,0,0,0,0,0,0
889,M15748,M,295.6,306.1,1651,28.1,110,0,0,0,0,0,0
2136,L49315,L,299.3,309.0,1511,47.8,148,0,0,0,0,0,0
5811,L52990,L,301.3,311.0,1856,21.9,189,0,0,0,0,0,0
9751,L56930,L,298.7,310.0,1555,32.6,197,0,0,0,0,0,0
7359,M22218,M,299.5,310.1,1659,31.5,44,0,0,0,0,0,0
1291,L48470,L,298.6,309.7,1429,45.8,113,0,0,0,0,0,0
7638,H37051,H,300.4,311.4,1445,52.4,105,0,0,0,0,0,0
6253,L53432,L,300.8,310.3,1538,36.1,198,0,0,0,0,0,0
6886,L54065,L,300.8,311.2,1397,48.7,111,0,0,0,0,0,0
770,L47949,L,296.9,308.0,1343,44.5,15,0,0,0,0,0,0
7873,L55052,L,300.6,312.3,1532,37.2,54,0,0,0,0,0,0
6255,L53434,L,301.0,310.5,1408,47.0,202,0,0,0,0,0,0
1251,L48430,L,297.3,308.7,1549,36.1,218,0,0,0,0,0,0
8797,L55976,L,297.2,308.3,1796,23.8,61,0,0,0,0,0,0
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0
6146,M21005,M,301.1,311.1,1436,41.8,156,0,0,0,0,0,0
5485,M20344,M,302.5,312.0,1826,25.3,203,0,0,0,0,0,0
5642,L52821,L,302.6,312.1,1473,37.3,184,0,0,0,0,0,0
2283,L49462,L,299.4,308.7,1459,47.6,96,0,0,0,0,0,0
9553,M24412,M,299.3,310.8,1523,40.9,141,0,0,0,0,0,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0
412,L47591,L,297.5,308.7,1429,44.3,201,0,0,0,0,0,0
2738,M17597,M,299.7,309.1,1508,41.2,152,0,0,0,0,0,0
5586,M20445,M,302.5,312.0,1642,29.1,46,0,0,0,0,0,0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
8538,L55717,L,298.6,309.5,1730,30.2,41,0,0,0,0,0,0
3455,L50634,L,301.5,310.4,1918,21.8,9,0,0,0,0,0,0
7074,L54253,L,300.7,310.6,1491,43.2,187,0,0,0,0,0,0
6220,H35633,H,301.1,310.6,1407,43.9,111,0,0,0,0,0,0
9037,L56216,L,297.3,308.3,1519,37.7,45,0,0,0,0,0,0
6569,L53748,L,301.3,310.6,1521,36.3,166,0,0,0,0,0,0
4744,L51923,L,303.3,311.3,1409,51.8,16,0,0,0,0,0,0
8335,M23194,M,298.8,309.7,1459,47.3,141,0,0,0,0,0,0
8990,L56169,L,297.2,307.9,1469,48.2,144,0,0,0,0,0,0
7967,L55146,L,301.0,312.2,1602,35.9,67,0,0,0,0,0,0
2862,L50041,L,300.7,309.5,1479,43.6,240,0,0,0,0,0,0
3682,M18541,M,302.1,311.3,1453,45.1,174,0,0,0,0,0,0
3986,L51165,L,302.3,311.2,1386,50.3,110,0,0,0,0,0,0
6379,L53558,L,300.0,309.6,1514,44.6,98,0,0,0,0,0,0
2390,L49569,L,299.2,308.5,1867,27.0,138,0,0,0,0,0,0
7245,L54424,L,300.0,310.2,1760,26.9,193,0,0,0,0,0,0
5513,L52692,L,302.8,312.2,1682,30.9,58,0,0,0,0,0,0
1986,L49165,L,298.1,307.7,1537,40.8,169,0,0,0,0,0,0
3047,M17906,M,300.2,309.4,1501,40.0,48,0,0,0,0,0,0
9643,L56822,L,299.4,310.5,1372,46.3,173,0,0,0,0,0,0
712,L47891,L,297.5,308.7,1443,46.2,110,0,0,0,0,0,0
3231,L50410,L,300.6,309.4,1556,36.0,98,0,0,0,0,0,0
8871,M23730,M,297.9,309.1,1338,49.6,56,0,0,0,0,0,0
1726,M16585,M,298.3,307.8,1392,50.4,101,0,0,0,0,0,0
3153,M18012,M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0
1434,L48613,L,298.8,309.8,1363,44.0,25,0,0,0,0,0,0
8005,L55184,L,300.9,312.0,1533,44.0,162,0,0,0,0,0,0
3887,L51066,L,302.4,311.3,1392,50.5,51,0,0,0,0,0,0
8257,H37670,H,299.0,310.5,1336,56.8,136,0,0,0,0,0,0
8560,L55739,L,298.3,309.0,1519,40.0,96,0,0,0,0,0,0
5115,M19974,M,304.2,313.8,1481,44.9,136,0,0,0,0,0,0
1786,L48965,L,298.2,308.0,1538,38.2,59,0,0,0,0,0,0
1437,H30850,H,298.8,309.8,1510,44.2,35,0,0,0,0,0,0
9861,H39274,H,298.7,309.6,1755,26.9,73,0,0,0,0,0,0
2575,L49754,L,299.5,309.3,1972,19.3,177,0,0,0,0,0,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
4619,M19478,M,303.0,311.3,1335,53.6,164,1,0,1,0,0,0
3849,L51028,L,302.3,310.9,1720,28.1,178,0,0,0,0,0,0
7317,L54496,L,299.9,310.4,1497,47.0,150,0,0,0,0,0,0
7745,L54924,L,300.4,311.7,1314,59.5,160,0,0,0,0,0,0
7006,M21865,M,300.6,310.7,1339,52.9,0,0,0,0,0,0,0
8265,M23124,M,299.1,310.6,1397,49.5,165,0,0,0,0,0,0
7624,L54803,L,300.6,311.7,1734,29.9,72,0,0,0,0,0,0
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
2114,L49293,L,299.5,309.1,1863,22.5,79,0,0,0,0,0,0
5895,L53074,L,301.2,310.9,1597,37.9,164,0,0,0,0,0,0
1201,M16060,M,296.9,308.0,1430,55.9,71,0,0,0,0,0,0
4579,L51758,L,303.0,311.2,1641,32.6,63,0,0,0,0,0,0
4085,L51264,L,302.0,310.4,1611,35.6,117,0,0,0,0,0,0
9719,L56898,L,298.9,309.9,1517,36.6,117,0,0,0,0,0,0
4136,M18995,M,301.7,310.3,1787,26.7,33,0,0,0,0,0,0
8733,L55912,L,297.2,308.6,1864,23.6,103,0,0,0,0,0,0
6570,M21429,M,301.4,310.7,1375,42.0,168,0,0,0,0,0,0
